 Month    Low     2      3      4      5      6      7      8      9    High
193711 -13.36 -11.86 -10.07 -10.96 -10.32  -9.71 -10.40  -9.69  -9.54 -12.35
193712 -18.40 -11.31 -11.45 -14.60  -8.37  -8.35  -7.77  -7.19  -8.76  -7.19
193801  10.55   6.81   3.30   4.96   1.13   3.76   3.52   2.68   3.33   1.48
193802   6.03   6.19   4.08   8.69   7.84   7.51   6.46   5.57   6.10   3.59
193803 -39.00 -33.95 -32.68 -31.98 -31.66 -29.01 -27.58 -25.02 -21.11 -16.42
193804  23.62  29.25  23.83  24.87  22.13  18.89  17.34  17.94  13.92  13.43
193805  -8.58 -10.60 -10.14  -8.63 -10.02  -7.78  -5.25  -6.29  -3.81   0.43
193806  36.99  42.10  37.72  38.33  38.24  34.91  29.45  25.38  17.50  10.37
193807  23.09  11.84  15.06  12.80  11.97  11.78  10.81  10.52   7.82   6.06
193808 -12.52  -8.70  -7.76  -8.02  -8.12  -5.27  -5.45  -4.05  -3.51  -0.53
193809  -3.45  -3.40  -2.66  -0.72  -2.55  -1.55  -0.65  -0.34   0.26   0.14
193810  18.37  17.76  18.87  17.79  12.72  14.38  10.44   9.64  10.39  12.89
193811 -14.16  -3.04  -5.48  -5.87  -4.88  -1.80  -0.83  -1.87  -1.86   0.54
193812   1.71   1.79   0.98   2.75   3.06   2.70   4.53   3.96   5.16   6.52
193901  -4.59  -7.59  -6.69  -7.11  -7.26  -7.38  -8.66  -7.92  -9.91  -9.34
193902   1.66   2.70   3.66   4.20   3.84   3.65   4.73   5.05   5.60   6.77
193903 -18.09 -16.68 -16.87 -15.09 -17.43 -18.62 -16.04 -15.30 -18.95 -20.62
193904  -3.23  -1.24  -1.40   0.72   0.84  -1.14   1.12   0.46   0.99   3.74
193905   5.82   6.10   8.95   8.13   7.53   9.37   8.14   8.01  10.44  12.54
193906  -9.05  -9.05 -11.11  -7.66  -7.97  -7.55  -8.33  -7.25  -8.12  -8.39
193907  13.44  14.66  14.29  16.33  13.73  12.78  11.59  12.71  10.81  15.61
193908 -12.26 -13.31 -11.59 -12.44 -11.64 -11.09  -9.16  -9.79  -6.72  -8.09
193909 104.78  58.43  52.50  47.77  32.61  29.10  27.26  16.83  19.27  15.08
193910  -8.58  -2.33  -3.14  -2.90  -1.15   0.65   0.74   1.89   2.49   3.95
193911  -7.51 -10.41  -6.47  -7.51  -7.67  -7.83  -7.23 -10.10  -6.98 -10.23
193912  -1.78  -0.36  -1.33   2.33   2.46   1.92   1.49   3.03   2.29   5.30
194001  -0.72  -4.47  -1.69  -3.36  -4.84  -1.14  -0.17  -1.35  -1.26  -0.59
194002   0.23   1.66   3.30   4.11   1.83   2.63   3.41   2.94   3.50   6.69
194003   3.21   1.87   2.37   3.91   1.76   3.09   2.12   3.39   2.03   3.65
194004  -6.88   1.11  -0.43   1.46   0.35   0.41   0.76   2.50   4.59   8.14
194005 -25.84 -29.76 -27.84 -26.70 -25.53 -25.57 -25.15 -25.65 -26.98 -30.15
194006   8.32   9.05   6.22   7.19   4.59   7.39   6.89   5.31   6.09   6.39
194007   2.41   3.77   3.40   4.28   2.93   3.51   3.05   3.98   4.99   5.11
194008   1.96   3.26   2.59   1.61   2.64   2.77   1.25   2.29   2.23   1.29
194009   2.70   3.70   4.60   3.68   3.78   4.37   4.60   4.18   3.75   2.64
194010   1.78   9.75   7.99   6.97   5.11   3.65   3.53   3.65   2.15   4.87
194011  -4.71  -2.26   2.23   0.54   0.32   0.51  -0.98   0.09   0.91   0.94
194012 -10.35  -4.54  -1.86  -1.04  -2.17  -0.63  -0.51   0.03   0.50   2.67
194101  18.14   0.70   0.12  -2.09  -2.38  -4.35  -4.19  -3.86  -3.37  -4.34
194102  -2.03  -3.57  -2.07  -2.20  -2.11  -0.63  -1.28  -3.59  -0.69  -1.50
194103  -0.18   2.14   1.23   1.57   1.51   0.04   1.00   2.57   2.53   0.77
194104  -9.92  -7.36  -6.87  -6.80  -5.73  -4.82  -5.63  -2.13  -4.21  -4.63
194105  -1.28   0.03   1.14   0.62   1.94   1.22   1.11   1.85   1.66   2.29
194106   7.62   6.90   6.90   5.61   5.68   6.85   5.80   5.93   7.71   7.96
194107  25.79  15.48  13.57  12.11   9.83  10.59   9.57  10.78   9.92  12.22
194108  -2.39  -3.54  -1.12  -1.15  -0.84   0.41   2.20   0.04   0.13  -0.61
194109  -3.43  -1.13  -0.10  -2.46  -1.04  -3.03  -2.26  -1.65  -1.95  -3.06
194110 -13.31  -6.95  -5.72  -7.04  -6.07  -7.18  -3.73  -5.08  -3.79  -3.31
194111  -9.87  -3.87  -5.13  -4.39  -3.37  -2.95  -0.76  -1.36  -1.08  -0.77
194112 -15.59 -10.04  -7.30  -6.63  -5.30  -7.32  -6.49  -6.54  -7.95  -9.19
194201  32.69  19.83   8.57  10.55   7.88   7.31   6.20   7.02  11.22  18.13
194202   0.84  -0.50  -2.11  -2.88  -1.42  -2.55  -1.13  -1.63  -1.16  -1.58
194203  -4.67  -2.87  -5.63  -5.95  -5.17  -6.24  -4.13  -4.02  -5.79  -7.01
194204  -3.56  -4.88  -3.58  -4.78  -5.68  -5.49  -5.75  -4.35  -5.72  -2.10
194205   5.95   5.41   3.80   5.63   1.46   2.15   1.49   0.23   1.78   0.27
194206   2.50   3.88   2.98   2.60   2.87   2.53   3.15   1.40   1.70   0.91
